,품목고시 명칭에 따른 보조기기 영역,,
,,,
,연번,품목고시 명칭,보조기기 영역
,623,진공청소기,ADL
,624,진동 감소용 보조기기,EC
,625,진동기,ADL
,626,진동시계,S
,627,"차량 내 착석을 위한 좌석과 방석, 액세서리, 개조용품",AM
,628,차량 내 휠체어 고정용 보조기기,AM
,629,차량 내 휠체어 적재용 보조기기,AM
,630,차량 조작용 부가적 기능의 액세서리 및 개조용품,AM
,631,차량용 휠체어 운반 보조기기 또는 차량 연결형 휠체어 운반차,AM
,632,차양막 개폐장치,EC
,633,찬장,EC
,634,"창, 계단, 리프트용 안전 장벽, 울타리, 문",EC
,635,창문,EC
,636,창문 개폐장치,EC
,637,창문 청소용 장비,ADL
,638,"창의적 그림 디자인용 도구, 재료, 장비",L
,639,책장 넘기는 도구,ADL
,640,척추 및 머리 보조기 구조 부분품,ADL
,641,척추 및 머리 보조기 마감(성형외관) 부분품,ADL
,642,척추 및 머리 보조기 장착부 부분품,ADL
,643,척추 보조기 관절 부분품,ADL
,644,청각 보조기기용 액세서리,S
,645,청진기,ADL
,646,체력-작업 능력 측정 및 운동용 기구,"L, ADL"
,647,체온계,ADL
,648,체적 측정용 보조기기 및 도구,ADL
,649,촉각 디스플레이,S
,650,촉각 방향 안내용 도구,S
,651,촉각시계,S
,652,축회전 장치(토크 감소 장치),ADL
,653,출력장치용 소프트웨어,S
,654,취사용 기계장치,ADL
,655,측면 지지 틀,WC
,656,치료 시 자세유지용 보조기기,SP
,657,치마와 드레스,ADL
,658,침구,ADL
,659,침대 고정형 자기 들어올리기용 난간,ADL
,660,침대 고정형 측면 난간,ADL
,661,침대 단축용 보조기기,ADL
,662,침대 리프트,ADL
,663,침대 및 탈착식 침대 판/비조절식 매트리스 지지단 (고정침대),ADL
